QuestionId,Time,FpogX,FpogY,Valid
0,775.31897,0.37772,0.46735,1
0,775.33679,0.37733,0.46753,1
0,775.35217,0.37687,0.4672,1
0,775.36847,0.37636,0.46614,1
0,775.38525,0.37584,0.46536,1
0,775.40161,0.37535,0.46461,1
0,775.41791,0.37614,0.46492,1
0,775.43585,0.37653,0.46462,1
0,775.45184,0.37693,0.46457,1
0,775.46857,0.37677,0.46558,1
0,775.48474,0.37646,0.46492,1
0,775.50208,0.37635,0.46495,1
0,775.51825,0.37609,0.46465,1
0,775.53369,0.37593,0.4642,1
0,775.55206,0.37577,0.46378,1
0,775.56842,0.37496,0.46364,1
0,775.58594,0.37566,0.46489,1
0,775.60077,0.3764,0.46635,1
0,775.61487,0.37703,0.46742,1
0,775.63159,0.37679,0.46749,1
0,775.64813,0.37652,0.46735,1
0,775.66498,0.37634,0.46848,1
0,775.68073,0.37579,0.46913,1
0,775.69708,0.37523,0.46974,1
0,775.71399,0.37441,0.46869,1
0,775.73163,0.3726,0.46595,1
0,775.74792,0.35313,0.44366,0
0,775.7652,0.34034,0.33788,0
0,775.78082,0.33048,0.32101,0
0,775.79602,0.31709,0.27299,0
0,775.81219,0.31157,0.28067,0
0,775.82904,0.32282,0.28029,0
0,775.84564,0.32795,0.27696,1
0,775.8623,0.32851,0.28993,1
0,775.87817,0.33139,0.29317,1
0,775.89447,0.33369,0.29696,1
0,775.91174,0.32975,0.2998,1
0,775.92731,0.33034,0.30642,1
0,775.94366,0.33082,0.31171,1
0,775.95984,0.33087,0.30434,1
0,775.97614,0.32293,0.29225,1
0,775.99414,0.31602,0.28112,1
0,776.01056,0.29466,0.26285,1
0,776.02698,0.27734,0.2482,1
0,776.0437,0.24066,0.22276,0
0,776.06,0.13206,0.12548,0
0,776.07495,0.10265,0.09965,0
0,776.0921,0.03835,0.04573,0
0,776.10822,0.05073,0.07889,0
0,776.12408,0.0537,0.10118,0
0,776.14233,0.05519,0.11232,1
0,776.15698,0.05418,0.10138,1
0,776.17346,0.05113,0.09886,1
0,776.18988,0.04895,0.09706,1
0,776.20618,0.04681,0.09852,1
0,776.22321,0.04768,0.09374,1
0,776.23938,0.04878,0.09124,1
0,776.25635,0.0498,0.08914,1
0,776.27228,0.05037,0.09106,1
0,776.28864,0.05071,0.09221,1
0,776.30487,0.04977,0.08173,1
0,776.32153,0.04865,0.07401,1
0,776.33893,0.04777,0.06767,1
0,776.35437,0.04633,0.06118,1
0,776.37085,0.0447,0.05384,1
0,776.38745,0.03991,0.01824,0
0,776.40405,0.04063,-0.00364,0
0,776.42084,0.03895,-0.0024,0
0,776.43683,0.03811,-0.00178,1
0,776.4527,0.06759,0.03821,1
0,776.46936,0.1149,0.10476,1
0,776.48566,0.16622,0.17108,0
0,776.50195,0.27088,0.28818,0
0,776.52002,0.31122,0.32449,0
0,776.53644,0.38601,0.39661,0
0,776.55273,0.39484,0.38352,0
0,776.56995,0.39197,0.37849,0
0,776.58472,0.39093,0.37887,1
0,776.60065,0.38641,0.38368,1
0,776.61731,0.38264,0.38702,1
0,776.63361,0.37969,0.38779,1
0,776.65027,0.3977,0.39485,1
0,776.66736,0.41978,0.40169,1
0,776.68317,0.43744,0.40716,1
0,776.69989,0.45433,0.40719,1
0,776.71655,0.46832,0.40912,1
0,776.73254,0.48012,0.4116,1
0,776.74896,0.48843,0.41545,1
0,776.76526,0.52151,0.42936,0
0,776.7818,0.55875,0.45047,0
0,776.79803,0.57126,0.45426,0
0,776.81494,0.58018,0.46219,1
0,776.83179,0.58554,0.46695,1
0,776.84802,0.58435,0.46032,1
0,776.86462,0.5853,0.45762,1
0,776.88116,0.58602,0.45559,1
0,776.89734,0.58637,0.45641,1
0,776.91455,0.58523,0.45833,1
0,776.93079,0.58431,0.45894,1
0,776.94659,0.58366,0.45851,1
0,776.96368,0.5835,0.45882,1
0,776.97992,0.58336,0.45908,1
0,776.99597,0.58318,0.45703,1
0,777.01294,0.58352,0.45861,1
0,777.02966,0.58383,0.46001,1
0,777.04541,0.58473,0.46088,1
0,777.06183,0.58352,0.46108,1
0,777.07892,0.58242,0.46126,1
0,777.09454,0.58223,0.45949,1
