QuestionId,Time,FpogX,FpogY,Valid
0,5845.72412,0.46818,0.52085,1
0,5845.74023,0.46829,0.52181,1
0,5845.75684,0.46839,0.52288,1
0,5845.77295,0.4677,0.52452,1
0,5845.78955,0.4688,0.5257,1
0,5845.80566,0.46979,0.52622,1
0,5845.82227,0.46999,0.52477,1
0,5845.83887,0.47103,0.52607,1
0,5845.85498,0.47199,0.52754,1
0,5845.87109,0.47225,0.52889,1
0,5845.88818,0.47289,0.53027,1
0,5845.90479,0.47348,0.53172,1
0,5845.9209,0.47425,0.53289,1
0,5845.93701,0.47447,0.53415,1
0,5845.95361,0.47468,0.53497,1
0,5845.96973,0.4748,0.53694,1
0,5845.9873,0.47474,0.53932,1
0,5846.00293,0.48325,0.56778,0
0,5846.01904,0.49868,0.58592,0
0,5846.03564,0.49883,0.58471,0
0,5846.05176,0.49881,0.58499,1
0,5846.06836,0.49672,0.57848,1
0,5846.08496,0.4927,0.57437,1
0,5846.10156,0.48982,0.57302,1
0,5846.11768,0.49017,0.57189,1
0,5846.13428,0.48929,0.57472,1
0,5846.15039,0.48862,0.577,1
0,5846.16699,0.49013,0.58014,1
0,5846.18359,0.49114,0.57835,1
0,5846.2002,0.49198,0.57601,1
0,5846.2168,0.49134,0.57438,1
0,5846.23291,0.49203,0.57638,1
0,5846.24902,0.49261,0.57899,1
0,5846.26611,0.49229,0.58053,1
0,5846.28369,0.49121,0.5801,1
0,5846.30078,0.49025,0.57952,1
0,5846.31641,0.49117,0.57954,1
0,5846.33252,0.49145,0.57824,1
0,5846.34961,0.49171,0.57639,1
0,5846.36572,0.49221,0.57535,1
0,5846.38184,0.49211,0.57433,1
0,5846.39844,0.49201,0.57354,1
0,5846.41504,0.48973,0.57205,1
0,5846.43115,0.48799,0.572,1
0,5846.44824,0.48638,0.57211,1
0,5846.46533,0.48499,0.57109,1
0,5846.48096,0.48425,0.57052,1
0,5846.49707,0.48355,0.56995,1
0,5846.51514,0.48205,0.56832,1
0,5846.53027,0.4814,0.56847,1
0,5846.5459,0.48079,0.56883,1
0,5846.5625,0.47964,0.57416,1
0,5846.5791,0.45096,0.5656,0
0,5846.5957,0.44279,0.51841,0
0,5846.61182,0.45052,0.55371,0
0,5846.62744,0.45186,0.55779,1
0,5846.64404,0.45266,0.56023,1
0,5846.65967,0.44926,0.55823,1
0,5846.67676,0.44409,0.55774,1
0,5846.69287,0.44007,0.55555,1
0,5846.70996,0.43769,0.54859,1
0,5846.72754,0.43441,0.54238,1
0,5846.74268,0.43185,0.5387,1
0,5846.75879,0.43091,0.53571,1
0,5846.7749,0.43147,0.53494,1
0,5846.7915,0.43197,0.53459,1
0,5846.80762,0.43202,0.53314,1
0,5846.82422,0.43043,0.5307,1
0,5846.84082,0.42898,0.52829,1
0,5846.85742,0.42888,0.52601,1
0,5846.87451,0.42845,0.52494,1
0,5846.89063,0.42812,0.52477,1
0,5846.90674,0.42811,0.52552,1
0,5846.92334,0.42864,0.52602,1
0,5846.93994,0.42911,0.52616,1
0,5846.95605,0.42826,0.52725,1
0,5846.97314,0.42845,0.52718,1
0,5846.98926,0.42863,0.52697,1
0,5847.00537,0.42861,0.52606,1
0,5847.02197,0.43025,0.52576,1
0,5847.03809,0.43176,0.52532,1
0,5847.0542,0.43603,0.52508,1
0,5847.0708,0.43994,0.5239,1
0,5847.0874,0.46935,0.52019,0
0,5847.10352,0.51727,0.49819,0
0,5847.12012,0.53101,0.4953,0
0,5847.13721,0.53788,0.49386,1
0,5847.15332,0.54222,0.49447,1
0,5847.16992,0.54526,0.49214,1
0,5847.18701,0.54752,0.4894,1
0,5847.20264,0.5534,0.49507,1
0,5847.21875,0.5552,0.499,1
0,5847.23535,0.55665,0.50215,1
0,5847.25195,0.55706,0.50495,1
0,5847.26807,0.54803,0.50544,1
0,5847.28418,0.54039,0.50586,1
0,5847.30078,0.529,0.50991,1
0,5847.31836,0.51865,0.51373,1
0,5847.33496,0.50965,0.5175,1
0,5847.35303,0.50286,0.52147,1
0,5847.37061,0.47379,0.54401,0
0,5847.38525,0.44079,0.57621,0
0,5847.40088,0.41725,0.57327,0
0,5847.41553,0.41244,0.56438,1
0,5847.43213,0.40926,0.55607,1
0,5847.44922,0.40666,0.55908,1
0,5847.46533,0.40182,0.55508,1
0,5847.48193,0.39839,0.55345,1
0,5847.49854,0.39835,0.54752,1
0,5847.51563,0.39688,0.54515,1
0,5847.53271,0.39572,0.54386,1
0,5847.54834,0.39595,0.54558,1
0,5847.56445,0.39507,0.54515,1
0,5847.58057,0.39432,0.54479,1
0,5847.59668,0.39345,0.54189,1
0,5847.61328,0.39204,0.53695,1
0,5847.62988,0.39072,0.53187,1
0,5847.64648,0.3885,0.52924,1
0,5847.6626,0.3861,0.52648,1
0,5847.6792,0.38389,0.52362,1
0,5847.69531,0.38303,0.5219,1
0,5847.7124,0.38084,0.52311,1
0,5847.729,0.3789,0.52455,1
0,5847.74512,0.37644,0.54075,1
0,5847.76367,0.37519,0.5513,1
0,5847.78125,0.35048,0.58046,0
0,5847.79736,0.34721,0.54045,0
0,5847.81055,0.34133,0.53344,0
0,5847.82764,0.33803,0.52788,1
0,5847.84424,0.34173,0.51917,1
0,5847.85986,0.34302,0.51701,1
0,5847.87598,0.34398,0.51598,1
0,5847.89258,0.34187,0.51295,1
