QuestionId,Time,FpogX,FpogY,Valid
0,6983.47607,0.39438,0.17405,1
0,6983.49316,0.3945,0.17494,1
0,6983.50977,0.39537,0.17542,1
0,6983.52539,0.39558,0.17523,1
0,6983.5415,0.39577,0.17505,1
0,6983.55811,0.39581,0.17471,1
0,6983.5752,0.39633,0.17489,1
0,6983.5918,0.39682,0.17505,1
0,6983.60791,0.39512,0.1723,1
0,6983.62354,0.39197,0.16716,1
0,6983.64063,0.38901,0.16234,1
0,6983.65674,0.37281,0.12871,0
0,6983.67334,0.34304,0.05543,0
0,6983.68945,0.33312,0.03101,0
0,6983.70654,0.3096,-0.01292,0
0,6983.72266,0.30321,0.00665,0
0,6983.73926,0.30108,0.01317,0
0,6983.75537,0.29837,0.01144,1
0,6983.77246,0.29502,0.01832,1
0,6983.78809,0.29278,0.02291,1
0,6983.80566,0.2939,0.02151,1
0,6983.82129,0.29414,0.02153,1
0,6983.83838,0.29433,0.02154,1
0,6983.854,0.29542,0.02403,1
0,6983.86914,0.29421,0.0291,1
0,6983.88525,0.29321,0.03332,1
0,6983.90186,0.29481,0.03505,1
0,6983.91797,0.29497,0.0354,1
0,6983.93457,0.2951,0.0357,1
0,6983.95117,0.29422,0.03802,1
0,6983.96729,0.28833,0.03683,1
0,6983.98389,0.28309,0.03578,1
0,6984.00098,0.26675,0.03419,1
0,6984.01758,0.2269,0.03666,0
0,6984.0332,0.11933,0.00955,0
0,6984.0498,0.08491,0.02777,0
0,6984.06592,0.01646,0.03488,0
0,6984.0835,0.01996,0.04962,0
0,6984.10303,0.01875,0.06181,0
0,6984.11523,0.0149,0.04752,1
0,6984.13232,0.01133,0.03363,1
0,6984.14844,0.0121,0.02793,1
0,6984.16504,0.01371,0.02191,1
0,6984.18115,0.01493,0.0174,1
0,6984.19775,0.01407,0.01651,1
0,6984.21826,0.01288,0.01276,1
0,6984.23242,0.01191,0.00969,1
0,6984.24805,0.0091,0.0086,1
0,6984.26367,0.00899,0.00592,1
0,6984.27979,0.0089,0.00362,1
0,6984.2959,0.02892,0.01698,1
0,6984.3125,0.05135,0.02937,1
0,6984.3291,0.09605,0.04308,0
0,6984.34521,0.23512,0.11061,0
0,6984.3623,0.27102,0.13165,0
0,6984.37842,0.35328,0.17519,0
0,6984.39453,0.35204,0.17216,0
0,6984.41162,0.36224,0.1745,0
0,6984.42725,0.36734,0.17567,1
0,6984.44385,0.36449,0.1816,1
0,6984.46094,0.36264,0.18099,1
0,6984.47656,0.36132,0.18056,1
0,6984.49316,0.3615,0.17479,1
0,6984.51025,0.3634,0.17606,1
0,6984.52588,0.3649,0.17522,1
0,6984.54248,0.36521,0.17283,1
0,6984.55908,0.36631,0.16715,1
0,6984.57568,0.36721,0.16309,1
0,6984.59229,0.36779,0.16191,1
0,6984.60889,0.36758,0.16296,1
0,6984.625,0.3675,0.1658,1
0,6984.64111,0.38075,0.1802,1
0,6984.6582,0.39014,0.19174,1
0,6984.67383,0.39865,0.20113,1
0,6984.69043,0.43952,0.23168,0
0,6984.70703,0.50158,0.30189,0
0,6984.72314,0.52227,0.3253,0
0,6984.73926,0.56272,0.37601,0
0,6984.75586,0.56476,0.36788,0
0,6984.77295,0.56484,0.3697,0
0,6984.78955,0.56158,0.36039,1
0,6984.80518,0.56158,0.37431,1
0,6984.82178,0.56154,0.38432,1
0,6984.83887,0.55918,0.38036,1
0,6984.85498,0.55904,0.37313,1
0,6984.87207,0.55916,0.36541,1
0,6984.88818,0.55566,0.36674,1
0,6984.90479,0.55301,0.35914,1
0,6984.92139,0.55081,0.35281,1
0,6984.93701,0.55209,0.34884,1
0,6984.95313,0.55224,0.34396,1
0,6984.96973,0.55237,0.33972,1
0,6984.98584,0.55112,0.3343,1
0,6985.00293,0.55103,0.33119,1
0,6985.01904,0.54567,0.30049,0
0,6985.03564,0.53574,0.31111,0
0,6985.05322,0.53023,0.31194,0
0,6985.07178,0.52684,0.31897,1
0,6985.08838,0.52197,0.32987,1
0,6985.10498,0.51709,0.34636,1
0,6985.12061,0.5133,0.36311,1
0,6985.13574,0.51353,0.37541,1
0,6985.15039,0.51163,0.38604,1
0,6985.16748,0.51011,0.39455,1
0,6985.18311,0.51108,0.40478,1
0,6985.2002,0.51214,0.41227,1
0,6985.2168,0.51304,0.41861,1
0,6985.23291,0.51289,0.42379,1
0,6985.24902,0.50636,0.45845,0
0,6985.26611,0.49643,0.48132,0
0,6985.28223,0.50407,0.47638,0
0,6985.29932,0.5068,0.47463,1
0,6985.31543,0.50845,0.47357,1
0,6985.33154,0.50534,0.47956,1
0,6985.34814,0.50076,0.47779,1
0,6985.36426,0.49755,0.4732,1
0,6985.38086,0.49765,0.46386,1
0,6985.39746,0.49685,0.45252,1
0,6985.41357,0.49617,0.44246,1
0,6985.42969,0.49437,0.43796,1
0,6985.44629,0.49255,0.4367,1
0,6985.46289,0.49088,0.43814,1
0,6985.47949,0.49077,0.4387,1
0,6985.49561,0.49038,0.44035,1
0,6985.51172,0.49004,0.44179,1
0,6985.52832,0.48972,0.44323,1
0,6985.54492,0.48987,0.44418,1
0,6985.56152,0.49,0.44505,1
0,6985.57813,0.49031,0.4464,1
0,6985.59473,0.49043,0.44616,1
0,6985.61084,0.49053,0.44593,1
0,6985.62744,0.49026,0.44659,1
0,6985.64355,0.48974,0.44702,1
0,6985.65967,0.48925,0.44741,1
0,6985.67578,0.49187,0.44758,1
0,6985.69287,0.49397,0.44694,1
0,6985.70947,0.49592,0.44635,1
0,6985.72559,0.49881,0.44682,1
0,6985.74219,0.50121,0.44718,1
0,6985.7583,0.50347,0.44753,1
0,6985.7749,0.53144,0.45081,0
0,6985.79102,0.55033,0.44465,0
0,6985.80811,0.55663,0.4426,0
0,6985.82422,0.55959,0.44287,1
0,6985.84082,0.56102,0.4509,1
0,6985.85693,0.56196,0.45625,1
0,6985.87402,0.5594,0.45356,1
0,6985.89063,0.56128,0.45412,1
0,6985.90723,0.56274,0.45456,1
0,6985.92383,0.56182,0.45739,1
0,6985.93994,0.56255,0.45757,1
0,6985.95703,0.56315,0.45772,1
0,6985.97217,0.5637,0.46202,1
0,6985.98877,0.56557,0.46255,1
0,6986.00439,0.56718,0.46301,1
0,6986.021,0.56785,0.46521,1
0,6986.0376,0.56728,0.46666,1
0,6986.0542,0.56676,0.46794,1
0,6986.07031,0.5658,0.46922,1
0,6986.08838,0.56448,0.46985,1
0,6986.10449,0.56329,0.47042,1
0,6986.12061,0.56523,0.47021,1
0,6986.13721,0.56658,0.47008,1
0,6986.15332,0.56781,0.46996,1
0,6986.16895,0.56713,0.47146,1
0,6986.18555,0.56772,0.47241,1
0,6986.20166,0.56828,0.47329,1
0,6986.21826,0.56854,0.47423,1
0,6986.23486,0.56837,0.47443,1
0,6986.25146,0.56821,0.47463,1
0,6986.26807,0.56798,0.47473,1
0,6986.28418,0.56813,0.47467,1
0,6986.30078,0.56827,0.47462,1
0,6986.31738,0.56862,0.47578,1
0,6986.33398,0.56913,0.47618,1
0,6986.35059,0.56961,0.47656,1
0,6986.36621,0.56974,0.47678,1
0,6986.38379,0.56914,0.4772,1
0,6986.39941,0.56856,0.4776,1
0,6986.41602,0.56809,0.47806,1
0,6986.43262,0.56861,0.47824,1
