QuestionId,Time,FpogX,FpogY,Valid
0,4921.03906,0.46486,0.25331,1
0,4921.05566,0.46568,0.25261,1
0,4921.07227,0.46642,0.25182,1
0,4921.08887,0.46716,0.25103,1
0,4921.10498,0.46682,0.24997,1
0,4921.12109,0.46726,0.25029,1
0,4921.13916,0.46771,0.25061,1
0,4921.15479,0.46799,0.25022,1
0,4921.17188,0.46805,0.25002,1
0,4921.1875,0.46811,0.24982,1
0,4921.20313,0.46791,0.25036,1
0,4921.22021,0.46814,0.25112,1
0,4921.23633,0.46838,0.25188,1
0,4921.25488,0.47117,0.25604,1
0,4921.26904,0.49819,0.28898,0
0,4921.28564,0.55094,0.35995,0
0,4921.30225,0.57577,0.38692,0
0,4921.31885,0.61215,0.43197,0
0,4921.33496,0.60975,0.42806,0
0,4921.35107,0.6149,0.42689,0
0,4921.36768,0.61209,0.42853,1
0,4921.38379,0.6104,0.42952,1
0,4921.40088,0.61427,0.43512,1
0,4921.41699,0.61379,0.43877,1
0,4921.43359,0.61343,0.4415,1
0,4921.4502,0.61398,0.44139,1
0,4921.46631,0.61513,0.43959,1
0,4921.48242,0.61607,0.43812,1
0,4921.49902,0.60142,0.42299,1
0,4921.51611,0.58751,0.41354,1
0,4921.53174,0.57559,0.40544,1
0,4921.54834,0.56494,0.39362,1
0,4921.56445,0.55568,0.38441,1
0,4921.58105,0.52131,0.35409,0
0,4921.59766,0.46621,0.30221,0
0,4921.61523,0.4431,0.28589,0
0,4921.63184,0.40162,0.25229,0
0,4921.64844,0.39845,0.24234,0
0,4921.66357,0.39753,0.2375,0
0,4921.68018,0.39725,0.23759,1
0,4921.69629,0.39894,0.23796,1
0,4921.71338,0.40075,0.23721,1
0,4921.72998,0.40204,0.23667,1
0,4921.74561,0.40245,0.23566,1
0,4921.76367,0.40332,0.23499,1
0,4921.77881,0.40403,0.23446,1
0,4921.79492,0.40543,0.23628,1
0,4921.8125,0.40614,0.24017,1
0,4921.83301,0.40674,0.24346,1
0,4921.84619,0.40652,0.24202,1
0,4921.8623,0.40515,0.23933,1
0,4921.87695,0.4039,0.23664,1
0,4921.89453,0.40574,0.23315,1
0,4921.91064,0.40715,0.23473,1
0,4921.9292,0.40845,0.23695,1
0,4921.94287,0.40867,0.2393,1
0,4921.96191,0.4093,0.24323,1
0,4921.9751,0.40988,0.24681,1
0,4921.9917,0.41154,0.24754,1
0,4922.0083,0.4106,0.24809,1
0,4922.02588,0.40973,0.24859,1
0,4922.04199,0.41057,0.2517,1
0,4922.05908,0.41435,0.25401,1
0,4922.07471,0.43649,0.2814,0
0,4922.09033,0.50274,0.29687,0
0,4922.10693,0.52604,0.30774,0
0,4922.12354,0.57161,0.32076,0
0,4922.13965,0.55784,0.33293,0
0,4922.15625,0.5561,0.34133,0
0,4922.17236,0.55502,0.34881,1
0,4922.18945,0.55595,0.35304,1
0,4922.20557,0.56815,0.35253,1
0,4922.22168,0.57668,0.35413,1
0,4922.23926,0.58173,0.35722,1
0,4922.25488,0.5853,0.35733,1
0,4922.271,0.58817,0.35696,1
0,4922.2876,0.59014,0.36144,1
0,4922.3042,0.59218,0.3635,1
0,4922.32031,0.59391,0.36523,1
0,4922.33691,0.59679,0.37225,1
0,4922.35352,0.59867,0.37827,1
0,4922.36963,0.60035,0.38328,1
0,4922.38623,0.60179,0.38592,1
0,4922.40283,0.6221,0.40591,0
0,4922.41895,0.63254,0.41767,0
0,4922.43555,0.62298,0.41122,0
0,4922.45166,0.62506,0.40929,1
0,4922.46826,0.62645,0.40724,1
0,4922.48486,0.63024,0.40037,1
0,4922.50098,0.63245,0.39399,1
0,4922.51807,0.63438,0.38702,1
0,4922.53418,0.63619,0.38322,1
0,4922.55029,0.63722,0.37765,1
0,4922.56738,0.63796,0.3739,1
0,4922.5835,0.63848,0.37986,1
0,4922.59961,0.63806,0.38571,1
0,4922.61621,0.63774,0.39034,1
0,4922.63232,0.63927,0.39226,1
0,4922.64893,0.64146,0.39377,1
0,4922.66553,0.64341,0.39509,1
0,4922.68164,0.64414,0.39555,1
0,4922.69824,0.64467,0.39615,1
0,4922.71484,0.64502,0.3976,1
0,4922.73096,0.64535,0.39649,1
0,4922.74756,0.64448,0.39717,1
0,4922.76416,0.64368,0.39798,1
0,4922.78076,0.64414,0.39862,1
0,4922.79688,0.64459,0.39757,1
0,4922.81348,0.64506,0.39609,1
