QuestionId,Time,FpogX,FpogY,Valid
0,214.68916,0.3509,0.2919,1
0,214.70583,0.35104,0.28116,1
0,214.72202,0.35213,0.25797,1
0,214.73889,0.35316,0.24211,1
0,214.75511,0.35343,0.21783,1
0,214.77243,0.3544,0.19627,1
0,214.78719,0.35505,0.1774,1
0,214.80431,0.35319,0.16151,1
0,214.82109,0.35338,0.15097,1
0,214.83759,0.3544,0.10908,0
0,214.85571,0.35232,0.05198,0
0,214.87274,0.35134,0.02191,0
0,214.89227,0.35026,-0.02261,0
0,214.90434,0.35194,0.01313,0
0,214.92151,0.35542,0.02797,0
0,214.93773,0.35742,0.03649,1
0,214.9547,0.34787,0.03955,1
0,214.96965,0.34798,0.04587,1
0,214.98856,0.3479,0.04959,1
0,215.00137,0.35459,0.09612,1
0,215.01924,0.35858,0.12842,1
0,215.03474,0.36179,0.15437,1
0,215.05151,0.36322,0.17428,1
0,215.06709,0.36611,0.19392,1
0,215.08405,0.36855,0.21053,1
0,215.10011,0.37065,0.26351,0
0,215.11624,0.3662,0.36453,0
0,215.13298,0.36472,0.39821,0
0,215.14859,0.36781,0.43027,0
0,215.16537,0.38052,0.45238,0
0,215.18158,0.38475,0.45975,0
0,215.19788,0.38462,0.45873,1
0,215.21529,0.38232,0.46278,1
0,215.23103,0.38079,0.46549,1
0,215.24736,0.37962,0.45811,1
0,215.26376,0.3838,0.4508,1
0,215.28053,0.38704,0.44512,1
0,215.29652,0.38399,0.44435,1
0,215.31358,0.38493,0.44282,1
0,215.32945,0.38571,0.44155,1
0,215.34589,0.38407,0.4409,1
0,215.36226,0.38486,0.44011,1
0,215.3788,0.38563,0.43996,1
0,215.39514,0.38651,0.43895,1
0,215.41176,0.38598,0.44219,1
0,215.42824,0.38558,0.44549,1
0,215.44446,0.38213,0.43367,1
0,215.46082,0.38041,0.42186,1
0,215.47781,0.37271,0.3857,0
0,215.49359,0.35315,0.25501,0
0,215.51044,0.35086,0.22795,0
0,215.52708,0.3412,0.15154,0
0,215.54306,0.36639,0.14985,0
0,215.56018,0.35198,0.18479,0
0,215.57669,0.34409,0.19856,1
0,215.59247,0.34459,0.21017,1
0,215.60934,0.34204,0.22304,1
0,215.62592,0.34075,0.23501,1
