QuestionId,Time,FpogX,FpogY,Valid
0,6603.68945,0.37682,0.3464,1
0,6603.70557,0.37657,0.34478,1
0,6603.72217,0.37694,0.3454,1
0,6603.73877,0.37726,0.34593,1
0,6603.75488,0.38778,0.36446,1
0,6603.77002,0.39781,0.38629,1
0,6603.78809,0.40666,0.40555,1
0,6603.80322,0.43198,0.45119,0
0,6603.8208,0.49663,0.57556,0
0,6603.83789,0.51819,0.61701,0
0,6603.85254,0.55462,0.6972,0
0,6603.87354,0.55554,0.67462,0
0,6603.88818,0.55584,0.66709,0
0,6603.90381,0.55703,0.66477,1
0,6603.91797,0.55751,0.66227,1
0,6603.93555,0.55783,0.6606,1
0,6603.95166,0.56165,0.65765,1
0,6603.96875,0.56322,0.65707,1
0,6603.9834,0.56445,0.65662,1
0,6604,0.56262,0.65583,1
0,6604.01611,0.55582,0.63625,1
0,6604.03369,0.55015,0.61992,1
0,6604.05078,0.53932,0.58767,1
0,6604.06738,0.52975,0.562,1
0,6604.08301,0.51286,0.50792,0
0,6604.09961,0.46535,0.33793,0
0,6604.11621,0.4541,0.28342,0
0,6604.13232,0.42701,0.17224,0
0,6604.14893,0.42943,0.18237,0
0,6604.16553,0.42287,0.17172,0
0,6604.18164,0.41958,0.1664,1
0,6604.19824,0.401,0.15657,1
0,6604.21533,0.38839,0.15119,1
0,6604.22949,0.37939,0.14734,1
0,6604.24609,0.37287,0.13735,1
0,6604.2627,0.36676,0.13342,1
0,6604.27881,0.36186,0.13027,1
0,6604.29541,0.35886,0.12731,1
0,6604.31201,0.35709,0.12407,1
0,6604.32861,0.3556,0.12134,1
0,6604.3457,0.35288,0.1187,1
0,6604.36133,0.35079,0.11711,1
0,6604.37793,0.32541,0.09884,0
0,6604.39453,0.32427,0.09554,0
0,6604.41016,0.32295,0.08977,0
0,6604.42725,0.32229,0.08688,1
0,6604.44434,0.31853,0.08517,1
0,6604.45947,0.31864,0.08686,1
0,6604.47656,0.31871,0.08807,1
0,6604.49268,0.33215,0.10907,1
0,6604.51025,0.34534,0.13596,1
0,6604.52686,0.35589,0.15747,1
0,6604.54346,0.36541,0.17461,1
0,6604.55957,0.37372,0.19144,1
0,6604.57617,0.38076,0.20568,1
0,6604.59277,0.38529,0.21812,1
0,6604.61084,0.40604,0.26371,0
0,6604.62549,0.42665,0.32192,0
0,6604.6416,0.42729,0.33532,0
0,6604.65918,0.43465,0.36852,0
0,6604.67383,0.43156,0.35908,0
0,6604.68994,0.46037,0.37934,0
0,6604.70654,0.49889,0.40183,1
0,6604.72266,0.52209,0.41457,1
0,6604.73877,0.53639,0.42328,1
0,6604.75586,0.54686,0.43279,1
0,6604.77197,0.55437,0.44184,1
0,6604.78809,0.56261,0.4481,1
0,6604.80469,0.56889,0.45279,1
0,6604.8208,0.57426,0.45556,1
0,6604.8374,0.57784,0.45638,1
0,6604.85449,0.57992,0.45809,1
0,6604.87061,0.60695,0.47503,0
0,6604.88721,0.61743,0.45805,0
0,6604.9043,0.62244,0.44883,0
0,6604.92041,0.62433,0.44719,1
0,6604.93701,0.62779,0.45069,1
0,6604.95264,0.62336,0.45258,1
0,6604.96875,0.61982,0.45619,1
0,6604.98535,0.61471,0.46144,1
0,6605.00244,0.6128,0.46278,1
0,6605.01855,0.61128,0.46384,1
0,6605.03516,0.61212,0.46487,1
0,6605.05176,0.61105,0.46556,1
0,6605.06738,0.61016,0.46614,1
0,6605.08447,0.60659,0.4679,1
0,6605.10059,0.60504,0.46815,1
0,6605.11719,0.60367,0.46836,1
0,6605.1333,0.60364,0.4684,1
0,6605.15039,0.60418,0.4689,1
0,6605.16748,0.60467,0.46935,1
0,6605.18311,0.60356,0.47001,1
0,6605.19922,0.60241,0.47032,1
0,6605.21533,0.60136,0.47061,1
0,6605.23242,0.58653,0.52161,0
0,6605.24951,0.58653,0.52161,0
0,6605.26611,0.58653,0.52161,0
0,6605.28125,0,0,0
0,6605.29785,0,0,0
0,6605.31396,0,0,0
0,6605.33057,0,0,0
0,6605.34766,0,0,0
0,6605.36377,0,0,0
0,6605.38037,0,0,0
0,6605.39746,0,0,0
0,6605.41357,0,0,0
0,6605.4292,0,0,0
0,6605.44678,0,0,0
0,6605.4624,0,0,0
0,6605.47949,0.63296,0.49028,0
0,6605.49756,0.62461,0.48419,0
0,6605.51367,0.62216,0.48073,0
0,6605.5293,0.624,0.48327,1
0,6605.54736,0.6269,0.48465,1
0,6605.56299,0.62917,0.48373,1
0,6605.57813,0.63029,0.47836,1
0,6605.59326,0.62724,0.47501,1
0,6605.61035,0.62471,0.47328,1
0,6605.62598,0.61832,0.47835,1
0,6605.64355,0.61237,0.48065,1
0,6605.65967,0.60734,0.4832,1
