QuestionId,Time,FpogX,FpogY,Valid
0,1554.47095,0.26416,0.7153,1
0,1554.48865,0.28924,0.75852,1
0,1554.50378,0.28924,0.75852,1
0,1554.51978,0.28924,0.75852,1
0,1554.53748,0.28924,0.75852,1
0,1554.55444,0.30295,0.77687,0
0,1554.56995,0.30295,0.77687,0
0,1554.58594,0.30295,0.77687,0
0,1554.60425,0,0,0
0,1554.62073,0,0,0
0,1554.63831,0,0,0
0,1554.65393,0,0,0
0,1554.67163,0,0,0
0,1554.68713,0,0,0
0,1554.70374,0,0,0
0,1554.72083,0.2742,0.38486,0
0,1554.73657,0.3656,0.51315,0
0,1554.75024,0.54704,0.77001,0
0,1554.76636,0.54194,0.76971,0
0,1554.78394,0.54045,0.76729,0
0,1554.79919,0.54318,0.76752,1
0,1554.81567,0.5442,0.76325,1
0,1554.83228,0.54498,0.75884,1
0,1554.84863,0.54345,0.75897,1
0,1554.86523,0.54211,0.75511,1
0,1554.88184,0.54106,0.7521,1
0,1554.89783,0.52713,0.76944,1
0,1554.91614,0.52713,0.76944,1
0,1554.93054,0.52713,0.76944,1
0,1554.94751,0.52713,0.76944,1
0,1554.96375,0.52492,0.76937,0
0,1554.98047,0.52492,0.76937,0
0,1554.99695,0.52492,0.76937,0
0,1555.01294,0,0,0
0,1555.02917,0,0,0
0,1555.04602,0,0,0
0,1555.06262,0,0,0
0,1555.07898,0,0,0
0,1555.09546,0,0,0
0,1555.11206,0,0,0
0,1555.12817,0,0,0
0,1555.14465,0,0,0
0,1555.16101,0,0,0
0,1555.17737,0.20088,0.46272,0
0,1555.1958,0.31452,0.79034,0
0,1555.21118,0.53704,1.34512,0
0,1555.22778,0.6033,1.50631,0
0,1555.24414,0.67589,1.68937,0
0,1555.26062,0.78678,1.94977,0
0,1555.27551,0.83025,2.04198,0
0,1555.29187,0.85042,2.06486,0
0,1555.30823,0.86768,2.10806,0
0,1555.32471,0.85002,2.08738,0
0,1555.34119,0.84075,2.09228,0
0,1555.35791,0.84701,2.11919,1
0,1555.37573,0.84998,2.13359,1
0,1555.39172,0.86943,2.17827,1
0,1555.40833,0.8854,2.21829,1
0,1555.42529,0.89803,2.24985,1
0,1555.44263,0.91323,2.27704,1
0,1555.45923,0.9224,2.2946,1
0,1555.47327,0.93006,2.30929,1
0,1555.49011,0.93631,2.32616,1
0,1555.50598,0.94294,2.34118,1
0,1555.52332,0.96491,2.39814,0
0,1555.53894,0.99516,2.42059,0
0,1555.55493,1.00188,2.44182,0
0,1555.57239,1.00394,2.44972,1
0,1555.58936,1.00208,2.44622,1
0,1555.60437,1.00152,2.44279,1
0,1555.62146,1.00031,2.43854,1
0,1555.63696,0.99929,2.43822,1
0,1555.65356,1.0002,2.43653,1
0,1555.67065,1.00111,2.43562,1
0,1555.68652,0.98906,2.40417,1
0,1555.70276,0.98308,2.36662,1
0,1555.71899,0.9784,2.3354,1
0,1555.73572,0.9784,2.3354,1
0,1555.75183,0.9784,2.3354,1
0,1555.76917,0.9784,2.3354,1
0,1555.7865,0.97952,2.33017,0
0,1555.8031,0.97952,2.33017,0
0,1555.82092,0.97952,2.33017,0
0,1555.83667,0,0,0
0,1555.85376,0,0,0
0,1555.86975,0,0,0
0,1555.88586,0,0,0
