QuestionId,Time,FpogX,FpogY,Valid
0,285.45944,0.52043,0.37007,1
0,285.4765,0.52213,0.35735,1
0,285.49265,0.52313,0.3547,1
0,285.51004,0.52266,0.35845,1
0,285.5253,0.52231,0.36193,1
0,285.54196,0.52178,0.36389,1
0,285.55832,0.52069,0.36527,1
0,285.57462,0.51982,0.36461,1
0,285.59076,0.51858,0.36273,1
0,285.60822,0.52101,0.36206,1
0,285.62402,0.5231,0.36149,1
0,285.64099,0.52635,0.37278,1
0,285.65741,0.52867,0.38377,1
0,285.67325,0.53071,0.39347,1
0,285.6897,0.53181,0.40159,1
0,285.70612,0.53789,0.43761,0
0,285.72235,0.53899,0.4908,0
0,285.73868,0.53921,0.49061,0
0,285.75525,0.54292,0.50357,1
0,285.7717,0.54494,0.51479,1
0,285.78848,0.54559,0.52704,1
0,285.80453,0.54647,0.52898,1
0,285.82104,0.54712,0.53043,1
0,285.83722,0.52912,0.50175,1
0,285.85385,0.50917,0.46865,1
0,285.87021,0.49285,0.44158,1
0,285.88687,0.47942,0.41176,1
0,285.90302,0.46762,0.38834,1
0,285.91956,0.45751,0.36827,1
0,285.9361,0.42683,0.31591,0
0,285.95227,0.3863,0.23102,0
0,285.96869,0.37279,0.20272,0
0,285.98529,0.34289,0.15393,0
0,286.00159,0.33597,0.16871,0
0,286.01801,0.33311,0.16769,0
0,286.0351,0.33052,0.15037,1
0,286.05106,0.32644,0.13761,1
0,286.06741,0.32389,0.13068,1
0,286.08392,0.31541,0.11551,1
0,286.10028,0.30622,0.11144,1
0,286.11722,0.29981,0.11377,1
0,286.13385,0.29528,0.1147,1
0,286.14941,0.29113,0.11506,1
0,286.1676,0.28754,0.11436,1
0,286.18372,0.28777,0.11279,1
0,286.2001,0.28798,0.11,1
0,286.2168,0.28808,0.10676,1
0,286.23306,0.2877,0.10623,1
0,286.24811,0.28724,0.10199,1
0,286.26477,0.28688,0.09856,1
0,286.28091,0.28782,0.09874,1
0,286.29742,0.28806,0.10118,1
0,286.31396,0.2882,0.10282,1
0,286.33017,0.28901,0.10133,1
0,286.34665,0.29014,0.10721,1
0,286.36368,0.29108,0.11151,1
0,286.3797,0.29129,0.11551,1
0,286.39609,0.29199,0.11961,1
0,286.41229,0.29268,0.12385,1
0,286.42874,0.30092,0.15891,0
0,286.44537,0.30882,0.21724,0
0,286.46161,0.31145,0.23669,0
0,286.47791,0.3163,0.27584,0
0,286.49512,0.32074,0.26085,0
0,286.51093,0.32187,0.25211,0
0,286.52747,0.33323,0.25646,1
0,286.54413,0.36567,0.29137,1
0,286.56149,0.38729,0.316,1
0,286.57797,0.4192,0.33537,1
0,286.59448,0.44277,0.35548,1
0,286.6095,0.46095,0.37255,1
0,286.62589,0.47449,0.38542,1
0,286.6427,0.48581,0.39524,1
0,286.659,0.49534,0.40234,1
0,286.67514,0.50451,0.40852,1
0,286.6918,0.54409,0.43526,0
0,286.7081,0.57912,0.42238,0
0,286.7244,0.58979,0.4133,0
0,286.741,0.59724,0.40796,1
0,286.75726,0.60175,0.40433,1
0,286.77365,0.59701,0.41063,1
0,286.79074,0.5941,0.41069,1
0,286.80661,0.59168,0.41426,1
0,286.82291,0.59122,0.42113,1
0,286.84021,0.59073,0.42781,1
0,286.85614,0.59013,0.43586,1
0,286.8725,0.58838,0.44074,1
0,286.88913,0.58616,0.44688,1
0,286.90613,0.58438,0.45025,1
0,286.92191,0.58279,0.45099,1
0,286.93875,0.58115,0.44935,1
0,286.9549,0.57977,0.44662,1
0,286.9711,0.57856,0.44469,1
0,286.98734,0.57749,0.4437,1
0,287.00409,0.5765,0.44355,1
0,287.02026,0.57638,0.44136,1
0,287.03671,0.57633,0.43946,1
0,287.05344,0.57631,0.43728,1
0,287.06946,0.57645,0.43448,1
0,287.086,0.57679,0.43186,1
0,287.10254,0.56857,0.40557,0
0,287.11884,0.57791,0.41391,0
0,287.13522,0.58127,0.43263,0
0,287.15219,0.58277,0.44439,1
0,287.1687,0.58404,0.45811,1
0,287.1846,0.58286,0.46243,1
0,287.20148,0.58211,0.46422,1
0,287.2178,0.58059,0.45504,1
0,287.2337,0.58043,0.44985,1
0,287.25046,0.58021,0.44694,1
0,287.26663,0.57796,0.45009,1
0,287.28333,0.57693,0.45462,1
